NACE2,EXIOBASE name,EXIOBASE code
1.62,Animal products nec,p01.m
1.62,Pigs,p01.j
1.62,Meat animals nec,p01.l
1.62,Poultry,p01.k
1.63,Wheat,p01.b
1.63,Oil seeds,p01.e
1.63,"Sugar cane, sugar beet",p01.f
1.63,Cereal grains nec,p01.c
1.63,Paddy rice,p01.a
1.63,"Vegetables, fruit, nuts",p01.d
1.63,Plant-based fibers,p01.g
1.63,Crops nec,p01.h
1.64,Wheat,p01.b
1.64,Cereal grains nec,p01.c
1.64,Crops nec,p01.h
1.64,Plant-based fibers,p01.g
1.64,"Vegetables, fruit, nuts",p01.d
1.64,Oil seeds,p01.e
1.64,"Sugar cane, sugar beet",p01.f
1.64,Paddy rice,p01.a
1.7,Meat animals nec,p01.l
1.7,Animal products nec,p01.m
2.1,"Products of forestry, logging and related services (02)",p02
2.2,"Products of forestry, logging and related services (02)",p02
2.3,"Products of forestry, logging and related services (02)",p02
2.4,"Products of forestry, logging and related services (02)",p02
3.11,Fish and other fishing products; services incidental of fishing (05),p05
3.12,Fish and other fishing products; services incidental of fishing (05),p05
3.21,Fish and other fishing products; services incidental of fishing (05),p05
3.22,Fish and other fishing products; services incidental of fishing (05),p05
5.1,Coking Coal,p10.b
5.1,Patent Fuel,p10.e
5.1,Other Bituminous Coal,p10.c
5.1,Sub-Bituminous Coal,p10.d
5.1,Anthracite,p10.a
5.2,Lignite/Brown Coal,p10.f
6.1,"Crude petroleum and services related to crude oil extraction, excluding surveying",p11.a
6.2,"Natural gas and services related to natural gas extraction, excluding surveying",p11.b
6.2,Natural Gas Liquids,p11.b.1
6.2,Other Hydrocarbons,p11.c
7.1,Iron ores,p13.1
7.21,Uranium and thorium ores (12),p12
7.29,Aluminium ores and concentrates,p13.20.13
7.29,Nickel ores and concentrates,p13.20.12
7.29,Other non-ferrous metal ores and concentrates,p13.20.16
7.29,"Lead, zinc and tin ores and concentrates",p13.20.15
7.29,Precious metal ores and concentrates,p13.20.14
7.29,Copper ores and concentrates,p13.20.11
8.11,Stone,p14.1
8.12,Sand and clay,p14.2
8.91,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",p14.3
8.92,Peat,p10.h
8.93,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",p14.3
8.99,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",p14.3
9.1,"Crude petroleum and services related to crude oil extraction, excluding surveying",p11.a
9.1,Other Hydrocarbons,p11.c
9.1,Natural Gas Liquids,p11.b.1
9.1,"Natural gas and services related to natural gas extraction, excluding surveying",p11.b
9.9,Iron ores,p13.1
9.9,"Lead, zinc and tin ores and concentrates",p13.20.15
9.9,Precious metal ores and concentrates,p13.20.14
9.9,Aluminium ores and concentrates,p13.20.13
9.9,Coking Coal,p10.b
9.9,Anthracite,p10.a
9.9,Uranium and thorium ores (12),p12
9.9,Peat,p10.h
9.9,Other non-ferrous metal ores and concentrates,p13.20.16
9.9,Lignite/Brown Coal,p10.f
9.9,Patent Fuel,p10.e
9.9,Copper ores and concentrates,p13.20.11
9.9,Stone,p14.1
9.9,Nickel ores and concentrates,p13.20.12
9.9,Sand and clay,p14.2
9.9,Sub-Bituminous Coal,p10.d
9.9,Other Bituminous Coal,p10.c
9.9,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",p14.3
10.11,Products of meat cattle,p15.a
10.11,Products of meat pigs,p15.b
10.11,Meat products nec,p15.d
10.12,Products of meat poultry,p15.c
10.13,Products of meat poultry,p15.c
10.13,Meat products nec,p15.d
10.13,Products of meat cattle,p15.a
10.13,Products of meat pigs,p15.b
10.2,Fish products,p15.k
10.31,Food products nec,p15.i
10.32,Food products nec,p15.i
10.39,Food products nec,p15.i
10.41,products of Vegetable oils and fats,p15.e
10.42,products of Vegetable oils and fats,p15.e
10.51,Dairy products,p15.f
10.52,Dairy products,p15.f
10.61,Processed rice,p15.g
10.61,Food products nec,p15.i
10.62,Food products nec,p15.i
10.62,Processed rice,p15.g
10.71,Food products nec,p15.i
10.72,Food products nec,p15.i
10.73,Food products nec,p15.i
10.81,Sugar,p15.h
10.82,Food products nec,p15.i
10.83,Food products nec,p15.i
10.84,Food products nec,p15.i
10.85,Food products nec,p15.i
10.86,Food products nec,p15.i
10.89,Food products nec,p15.i
10.91,Food products nec,p15.i
10.92,Food products nec,p15.i
11.01,Beverages,p15.j
11.02,Beverages,p15.j
11.03,Beverages,p15.j
11.04,Beverages,p15.j
11.05,Beverages,p15.j
11.06,Beverages,p15.j
11.07,Beverages,p15.j
12.0,Tobacco products (16),p16
13.1,Textiles (17),p17
13.2,Textiles (17),p17
13.3,Textiles (17),p17
13.91,Textiles (17),p17
13.92,Textiles (17),p17
13.93,Textiles (17),p17
13.94,Textiles (17),p17
13.95,Textiles (17),p17
13.96,Textiles (17),p17
13.99,Textiles (17),p17
14.11,Wearing apparel; furs (18),p18
14.12,Wearing apparel; furs (18),p18
14.13,Wearing apparel; furs (18),p18
14.14,Wearing apparel; furs (18),p18
14.19,Wearing apparel; furs (18),p18
14.2,Wearing apparel; furs (18),p18
14.31,Textiles (17),p17
14.39,Textiles (17),p17
15.11,Leather and leather products (19),p19
15.12,Leather and leather products (19),p19
15.2,Leather and leather products (19),p19
16.1,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),p20
16.1,Wood waste to recycling,p20.w
16.21,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),p20
16.21,Wood waste to recycling,p20.w
16.22,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),p20
16.22,Wood waste to recycling,p20.w
16.23,Wood waste to recycling,p20.w
16.23,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),p20
16.24,Wood waste to recycling,p20.w
16.24,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),p20
16.29,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),p20
16.29,Wood waste to recycling,p20.w
17.11,Paper waste to recycling,p21.w.1
17.11,Pulp,p21.1
17.12,Paper waste to recycling,p21.w.1
17.12,Pulp,p21.1
17.21,Paper and paper products,p21.2
17.22,Paper and paper products,p21.2
17.23,Paper and paper products,p21.2
17.24,Paper and paper products,p21.2
17.29,Paper and paper products,p21.2
18.11,Printed matter and recorded media (22),p22
18.12,Printed matter and recorded media (22),p22
18.13,Printed matter and recorded media (22),p22
18.14,Printed matter and recorded media (22),p22
18.2,Printed matter and recorded media (22),p22
19.1,Coke Oven Coke,p23.1.a
19.2,Motor Gasoline,p23.20.a
19.2,Petroleum Coke,p23.20.q
19.2,Paraffin Waxes,p23.20.p
19.2,Bitumen,p23.20.o
19.2,Lubricants,p23.20.n
19.2,White Spirit & SBP,p23.20.m
19.2,Naphtha,p23.20.l
19.2,Ethane,p23.20.k
19.2,Refinery Feedstocks,p23.20.j
19.2,Liquefied Petroleum Gases (LPG),p23.20.i
19.2,Refinery Gas,p23.20.h
19.2,Heavy Fuel Oil,p23.20.g
19.2,Gas/Diesel Oil,p23.20.f
19.2,Kerosene,p23.20.e
19.2,Kerosene Type Jet Fuel,p23.20.d
19.2,Gasoline Type Jet Fuel,p23.20.c
19.2,Aviation Gasoline,p23.20.b
19.2,Coal Tar,p23.1.c
19.2,Non-specified Petroleum Products,p23.20.r
19.2,BKB/Peat Briquettes,p10.g
19.2,Gas Coke,p23.1.b
20.11,Chemicals nec,p24.d
20.12,Chemicals nec,p24.d
20.13,Chemicals nec,p24.d
20.14,Charcoal,p24.e
20.14,Chemicals nec,p24.d
20.14,Biogasoline,p24.g
20.14,Other Liquid Biofuels,p24.i
20.14,Biodiesels,p24.h
20.14,Additives/Blending Components,p24.f
20.15,N-fertiliser,p24.b
20.15,Chemicals nec,p24.d
20.15,P- and other fertiliser,p24.c
20.16,Recycled waste plastic,p24.a.w
20.16,"Plastics, basic",p24.a
20.17,Recycled waste plastic,p24.a.w
20.17,"Plastics, basic",p24.a
20.2,Chemicals nec,p24.d
20.3,Chemicals nec,p24.d
20.41,Chemicals nec,p24.d
20.42,Chemicals nec,p24.d
20.51,Chemicals nec,p24.d
20.52,Chemicals nec,p24.d
20.53,Chemicals nec,p24.d
20.59,Chemicals nec,p24.d
20.59,Biodiesels,p24.h
20.59,Biogasoline,p24.g
20.59,Other Liquid Biofuels,p24.i
20.59,Additives/Blending Components,p24.f
20.6,Chemicals nec,p24.d
21.1,Chemicals nec,p24.d
21.2,Chemicals nec,p24.d
22.11,Rubber and plastic products (25),p25
22.19,Rubber and plastic products (25),p25
22.21,Rubber and plastic products (25),p25
22.22,Rubber and plastic products (25),p25
22.23,Rubber and plastic products (25),p25
22.29,Rubber and plastic products (25),p25
23.11,Glass and glass products,p26.a
23.11,Recycled glass waste,p26.a.w
23.12,Recycled glass waste,p26.a.w
23.12,Glass and glass products,p26.a
23.13,Glass and glass products,p26.a
23.13,Recycled glass waste,p26.a.w
23.14,Glass and glass products,p26.a
23.14,Recycled glass waste,p26.a.w
23.19,Recycled glass waste,p26.a.w
23.19,Glass and glass products,p26.a
23.2,Ceramic goods,p26.b
23.31,Ceramic goods,p26.b
23.32,"Bricks, tiles and construction products, in baked clay",p26.c
23.41,Ceramic goods,p26.b
23.42,Ceramic goods,p26.b
23.43,Ceramic goods,p26.b
23.44,Ceramic goods,p26.b
23.49,Ceramic goods,p26.b
23.51,"Cement, lime and plaster",p26.d
23.51,Recycled ash,p26.d.w
23.52,"Cement, lime and plaster",p26.d
23.52,Recycled ash,p26.d.w
23.61,Other non-metallic mineral products,p26.e
23.62,Other non-metallic mineral products,p26.e
23.63,Other non-metallic mineral products,p26.e
23.64,Other non-metallic mineral products,p26.e
23.65,Other non-metallic mineral products,p26.e
23.69,Other non-metallic mineral products,p26.e
23.7,Other non-metallic mineral products,p26.e
23.91,Other non-metallic mineral products,p26.e
23.99,Other non-metallic mineral products,p26.e
24.1,Basic iron and steel and of ferro-alloys and first products thereof,p27.a
24.1,Recycled steel scrap,p27.a.w
24.2,Basic iron and steel and of ferro-alloys and first products thereof,p27.a
24.2,Recycled steel scrap,p27.a.w
24.31,Recycled steel scrap,p27.a.w
24.31,Basic iron and steel and of ferro-alloys and first products thereof,p27.a
24.32,Basic iron and steel and of ferro-alloys and first products thereof,p27.a
24.32,Recycled steel scrap,p27.a.w
24.33,Recycled steel scrap,p27.a.w
24.33,Basic iron and steel and of ferro-alloys and first products thereof,p27.a
24.34,Recycled steel scrap,p27.a.w
24.34,Basic iron and steel and of ferro-alloys and first products thereof,p27.a
24.41,Precious metals,p27.41
24.41,Recycled pecious metals waste,p27.41.w
24.42,Aluminium and aluminium products,p27.42
24.42,Recycled aluminium waste,p27.42.w
24.43,"Recycled lead, zinc and tin waste",p27.43.w
24.43,"Lead, zinc and tin and products thereof",p27.43
24.44,Recycled copper waste,p27.44.w
24.44,Copper products,p27.44
24.45,Recycled other non-ferrous metals waste,p27.45.w
24.45,Other non-ferrous metal products,p27.45
24.46,Nuclear fuel,p23.3
