NACE2,EXIOBASE name,EXIOBASE code
47.42,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.43,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.51,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.52,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.53,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.54,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.59,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.61,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.62,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.63,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.64,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.65,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.71,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.72,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.73,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.74,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.75,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.76,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.77,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.78,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.79,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.81,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.82,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.89,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.91,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.99,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
49.1,Railway transportation services,p60.1
49.2,Railway transportation services,p60.1
49.31,Other land transportation services,p60.2
49.32,Other land transportation services,p60.2
49.39,Other land transportation services,p60.2
49.41,Other land transportation services,p60.2
49.42,Other land transportation services,p60.2
49.5,Transportation services via pipelines,p60.3
50.1,Sea and coastal water transportation services,p61.1
50.2,Sea and coastal water transportation services,p61.1
50.3,Inland water transportation services,p61.2
50.4,Inland water transportation services,p61.2
51.1,Air transport services (62),p62
51.21,Air transport services (62),p62
51.22,Air transport services (62),p62
52.1,Supporting and auxiliary transport services; travel agency services (63),p63
52.21,Supporting and auxiliary transport services; travel agency services (63),p63
52.22,Supporting and auxiliary transport services; travel agency services (63),p63
52.23,Supporting and auxiliary transport services; travel agency services (63),p63
52.24,Supporting and auxiliary transport services; travel agency services (63),p63
52.29,Supporting and auxiliary transport services; travel agency services (63),p63
53.1,Post and telecommunication services (64),p64
53.2,Post and telecommunication services (64),p64
55.1,Hotel and restaurant services (55),p55
55.2,Hotel and restaurant services (55),p55
55.3,Hotel and restaurant services (55),p55
55.9,Hotel and restaurant services (55),p55
56.1,Hotel and restaurant services (55),p55
56.21,Hotel and restaurant services (55),p55
56.29,Hotel and restaurant services (55),p55
56.3,Hotel and restaurant services (55),p55
58.11,Printed matter and recorded media (22),p22
58.12,Printed matter and recorded media (22),p22
58.13,Printed matter and recorded media (22),p22
58.14,Printed matter and recorded media (22),p22
58.19,Printed matter and recorded media (22),p22
58.21,Computer and related services (72),p72
58.29,Computer and related services (72),p72
59.11,"Recreational, cultural and sporting services (92)",p92
59.12,"Recreational, cultural and sporting services (92)",p92
59.13,"Recreational, cultural and sporting services (92)",p92
59.14,"Recreational, cultural and sporting services (92)",p92
59.2,Printed matter and recorded media (22),p22
60.1,"Recreational, cultural and sporting services (92)",p92
60.2,"Recreational, cultural and sporting services (92)",p92
61.1,Post and telecommunication services (64),p64
61.2,Post and telecommunication services (64),p64
61.3,Post and telecommunication services (64),p64
61.9,Post and telecommunication services (64),p64
62.01,Computer and related services (72),p72
62.02,Computer and related services (72),p72
62.03,Computer and related services (72),p72
62.09,Computer and related services (72),p72
63.11,Computer and related services (72),p72
63.12,Computer and related services (72),p72
63.91,"Recreational, cultural and sporting services (92)",p92
63.99,Other business services (74),p74
64.11,"Financial intermediation services, except insurance and pension funding services (65)",p65
64.19,"Financial intermediation services, except insurance and pension funding services (65)",p65
64.2,"Financial intermediation services, except insurance and pension funding services (65)",p65
64.2,Other business services (74),p74
64.3,"Financial intermediation services, except insurance and pension funding services (65)",p65
64.91,"Financial intermediation services, except insurance and pension funding services (65)",p65
64.92,"Financial intermediation services, except insurance and pension funding services (65)",p65
64.99,"Financial intermediation services, except insurance and pension funding services (65)",p65
65.11,"Insurance and pension funding services, except compulsory social security services (66)",p66
65.12,"Insurance and pension funding services, except compulsory social security services (66)",p66
65.2,"Insurance and pension funding services, except compulsory social security services (66)",p66
65.3,"Insurance and pension funding services, except compulsory social security services (66)",p66
66.11,Services auxiliary to financial intermediation (67),p67
66.12,Services auxiliary to financial intermediation (67),p67
66.19,Services auxiliary to financial intermediation (67),p67
66.21,Services auxiliary to financial intermediation (67),p67
66.22,Services auxiliary to financial intermediation (67),p67
66.29,Services auxiliary to financial intermediation (67),p67
66.3,Services auxiliary to financial intermediation (67),p67
68.1,Real estate services (70),p70
68.2,Real estate services (70),p70
68.31,Real estate services (70),p70
68.32,Real estate services (70),p70
69.1,Other business services (74),p74
69.2,Other business services (74),p74
70.1,Other business services (74),p74
70.21,Other business services (74),p74
70.22,Other business services (74),p74
71.11,Other business services (74),p74
71.12,Other business services (74),p74
71.2,Other business services (74),p74
72.11,Research and development services (73),p73
72.19,Research and development services (73),p73
72.2,Research and development services (73),p73
73.11,Other business services (74),p74
73.12,Other business services (74),p74
73.2,Other business services (74),p74
74.1,Other business services (74),p74
74.2,Other business services (74),p74
74.3,Other business services (74),p74
74.9,Other business services (74),p74
75.0,Health and social work services (85),p85
77.11,Renting services of machinery and equipment without operator and of personal and household goods (71),p71
77.12,Renting services of machinery and equipment without operator and of personal and household goods (71),p71
77.21,Renting services of machinery and equipment without operator and of personal and household goods (71),p71
77.22,Renting services of machinery and equipment without operator and of personal and household goods (71),p71
77.29,Renting services of machinery and equipment without operator and of personal and household goods (71),p71
77.31,Renting services of machinery and equipment without operator and of personal and household goods (71),p71
77.32,Renting services of machinery and equipment without operator and of personal and household goods (71),p71
77.33,Renting services of machinery and equipment without operator and of personal and household goods (71),p71
77.34,Renting services of machinery and equipment without operator and of personal and household goods (71),p71
77.35,Renting services of machinery and equipment without operator and of personal and household goods (71),p71
77.39,Renting services of machinery and equipment without operator and of personal and household goods (71),p71
77.4,Other business services (74),p74
78.1,Other business services (74),p74
78.2,Other business services (74),p74
78.3,Other business services (74),p74
79.11,Supporting and auxiliary transport services; travel agency services (63),p63
79.12,Supporting and auxiliary transport services; travel agency services (63),p63
79.9,Supporting and auxiliary transport services; travel agency services (63),p63
79.9,"Recreational, cultural and sporting services (92)",p92
80.1,Other business services (74),p74
80.2,Other business services (74),p74
80.3,Other business services (74),p74
81.1,Other business services (74),p74
81.21,Other business services (74),p74
81.22,Other business services (74),p74
81.29,Other business services (74),p74
81.3,Other business services (74),p74
82.11,Other business services (74),p74
82.19,Other business services (74),p74
82.2,Other business services (74),p74
82.3,Other business services (74),p74
82.91,Other business services (74),p74
82.92,Other business services (74),p74
82.99,Other business services (74),p74
84.11,Public administration and defence services; compulsory social security services (75),p75
84.12,Public administration and defence services; compulsory social security services (75),p75
84.13,Public administration and defence services; compulsory social security services (75),p75
84.21,Public administration and defence services; compulsory social security services (75),p75
84.22,Public administration and defence services; compulsory social security services (75),p75
84.23,Public administration and defence services; compulsory social security services (75),p75
84.24,Public administration and defence services; compulsory social security services (75),p75
84.25,Public administration and defence services; compulsory social security services (75),p75
84.3,Public administration and defence services; compulsory social security services (75),p75
85.1,Education services (80),p80
85.2,Education services (80),p80
85.31,Education services (80),p80
85.32,Education services (80),p80
85.41,Education services (80),p80
85.42,Education services (80),p80
85.51,Education services (80),p80
85.52,Education services (80),p80
85.53,Education services (80),p80
85.59,Education services (80),p80
85.6,Other business services (74),p74
86.1,Health and social work services (85),p85
86.21,Health and social work services (85),p85
86.22,Health and social work services (85),p85
86.23,Health and social work services (85),p85
86.9,Health and social work services (85),p85
87.1,Health and social work services (85),p85
87.2,Health and social work services (85),p85
87.3,Health and social work services (85),p85
87.9,Health and social work services (85),p85
88.1,Health and social work services (85),p85
88.91,Health and social work services (85),p85
88.99,Health and social work services (85),p85
90.01,"Recreational, cultural and sporting services (92)",p92
90.02,"Recreational, cultural and sporting services (92)",p92
90.03,"Recreational, cultural and sporting services (92)",p92
90.04,"Recreational, cultural and sporting services (92)",p92
91.01,"Recreational, cultural and sporting services (92)",p92
91.02,"Recreational, cultural and sporting services (92)",p92
91.03,"Recreational, cultural and sporting services (92)",p92
91.04,"Recreational, cultural and sporting services (92)",p92
92.0,"Recreational, cultural and sporting services (92)",p92
93.11,"Recreational, cultural and sporting services (92)",p92
93.12,"Recreational, cultural and sporting services (92)",p92
93.13,Other services (93),p93
93.19,"Recreational, cultural and sporting services (92)",p92
93.21,"Recreational, cultural and sporting services (92)",p92
93.29,"Recreational, cultural and sporting services (92)",p92
94.11,Membership organisation services n.e.c. (91),p91
94.12,Membership organisation services n.e.c. (91),p91
94.2,Membership organisation services n.e.c. (91),p91
94.91,Membership organisation services n.e.c. (91),p91
